scenario_id,record_source,ingest_batch_id,order_id,customer_id,vin,market,order_status,order_amount,source_updated_at,loaded_at
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-001,CUST-C001,VIN-C001,SE,created,30001,2026-07-14 10:01:00,2026-07-14 10:06:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-002,CUST-C002,VIN-C002,SE,created,30002,2026-07-14 10:02:00,2026-07-14 10:07:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-003,CUST-C003,VIN-C003,SE,created,30003,2026-07-14 10:03:00,2026-07-14 10:08:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-004,CUST-C004,VIN-C004,SE,created,30004,2026-07-14 10:04:00,2026-07-14 10:09:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-005,CUST-C005,VIN-C005,SE,created,30005,2026-07-14 10:05:00,2026-07-14 10:10:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-006,CUST-C006,VIN-C006,SE,created,30006,2026-07-14 10:06:00,2026-07-14 10:11:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-007,CUST-C007,VIN-C007,SE,created,30007,2026-07-14 10:07:00,2026-07-14 10:12:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-008,CUST-C008,VIN-C008,SE,created,30008,2026-07-14 10:08:00,2026-07-14 10:13:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-009,CUST-C009,VIN-C009,SE,created,30009,2026-07-14 10:09:00,2026-07-14 10:14:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-010,CUST-C010,VIN-C010,SE,created,30010,2026-07-14 10:10:00,2026-07-14 10:15:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-011,CUST-C011,VIN-C011,SE,created,30011,2026-07-14 10:11:00,2026-07-14 10:16:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-012,CUST-C012,VIN-C012,SE,created,30012,2026-07-14 10:12:00,2026-07-14 10:17:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-013,CUST-C013,VIN-C013,SE,created,30013,2026-07-14 10:13:00,2026-07-14 10:18:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-014,CUST-C014,VIN-C014,SE,created,30014,2026-07-14 10:14:00,2026-07-14 10:19:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-015,CUST-C015,VIN-C015,SE,created,30015,2026-07-14 10:15:00,2026-07-14 10:20:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-016,CUST-C016,VIN-C016,SE,created,30016,2026-07-14 10:16:00,2026-07-14 10:21:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-017,CUST-C017,VIN-C017,SE,created,30017,2026-07-14 10:17:00,2026-07-14 10:22:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-018,CUST-C018,VIN-C018,SE,created,30018,2026-07-14 10:18:00,2026-07-14 10:23:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-019,CUST-C019,VIN-C019,SE,created,30019,2026-07-14 10:19:00,2026-07-14 10:24:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-020,CUST-C020,VIN-C020,SE,created,30020,2026-07-14 10:20:00,2026-07-14 10:25:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-021,CUST-C021,VIN-C021,SE,created,30021,2026-07-14 10:21:00,2026-07-14 10:26:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-022,CUST-C022,VIN-C022,SE,created,30022,2026-07-14 10:22:00,2026-07-14 10:27:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-023,CUST-C023,VIN-C023,SE,created,30023,2026-07-14 10:23:00,2026-07-14 10:28:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-024,CUST-C024,VIN-C024,SE,created,30024,2026-07-14 10:24:00,2026-07-14 10:29:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-025,CUST-C025,VIN-C025,SE,created,30025,2026-07-14 10:25:00,2026-07-14 10:30:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-026,CUST-C026,VIN-C026,SE,created,30026,2026-07-14 10:26:00,2026-07-14 10:31:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-027,CUST-C027,VIN-C027,SE,created,30027,2026-07-14 10:27:00,2026-07-14 10:32:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-028,CUST-C028,VIN-C028,SE,created,30028,2026-07-14 10:28:00,2026-07-14 10:33:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-029,CUST-C029,VIN-C029,SE,created,30029,2026-07-14 10:29:00,2026-07-14 10:34:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-030,CUST-C030,VIN-C030,SE,created,30030,2026-07-14 10:30:00,2026-07-14 10:35:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-031,CUST-C031,VIN-C031,SE,created,30031,2026-07-14 10:31:00,2026-07-14 10:36:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-032,CUST-C032,VIN-C032,SE,created,30032,2026-07-14 10:32:00,2026-07-14 10:37:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-033,CUST-C033,VIN-C033,SE,created,30033,2026-07-14 10:33:00,2026-07-14 10:38:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-034,CUST-C034,VIN-C034,SE,created,30034,2026-07-14 10:34:00,2026-07-14 10:39:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-035,CUST-C035,VIN-C035,SE,created,30035,2026-07-14 10:35:00,2026-07-14 10:40:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-036,CUST-C036,VIN-C036,SE,created,30036,2026-07-14 10:36:00,2026-07-14 10:41:00
