scenario_id,record_source,ingest_batch_id,vin,vehicle_id,make,model,market,source_updated_at,loaded_at
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C001,VEH-C001,Volvo,EX30,SE,2026-07-14 09:01:00,2026-07-14 09:06:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C002,VEH-C002,Volvo,EX30,SE,2026-07-14 09:02:00,2026-07-14 09:07:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C003,VEH-C003,Volvo,EX30,SE,2026-07-14 09:03:00,2026-07-14 09:08:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C004,VEH-C004,Volvo,EX30,SE,2026-07-14 09:04:00,2026-07-14 09:09:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C005,VEH-C005,Volvo,EX30,SE,2026-07-14 09:05:00,2026-07-14 09:10:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C006,VEH-C006,Volvo,EX30,SE,2026-07-14 09:06:00,2026-07-14 09:11:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C007,VEH-C007,Volvo,EX30,SE,2026-07-14 09:07:00,2026-07-14 09:12:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C008,VEH-C008,Volvo,EX30,SE,2026-07-14 09:08:00,2026-07-14 09:13:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C009,VEH-C009,Volvo,EX30,SE,2026-07-14 09:09:00,2026-07-14 09:14:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C010,VEH-C010,Volvo,EX30,SE,2026-07-14 09:10:00,2026-07-14 09:15:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C011,VEH-C011,Volvo,EX30,SE,2026-07-14 09:11:00,2026-07-14 09:16:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C012,VEH-C012,Volvo,EX30,SE,2026-07-14 09:12:00,2026-07-14 09:17:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C013,VEH-C013,Volvo,EX30,SE,2026-07-14 09:13:00,2026-07-14 09:18:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C014,VEH-C014,Volvo,EX30,SE,2026-07-14 09:14:00,2026-07-14 09:19:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C015,VEH-C015,Volvo,EX30,SE,2026-07-14 09:15:00,2026-07-14 09:20:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C016,VEH-C016,Volvo,EX30,SE,2026-07-14 09:16:00,2026-07-14 09:21:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C017,VEH-C017,Volvo,EX30,SE,2026-07-14 09:17:00,2026-07-14 09:22:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C018,VEH-C018,Volvo,EX30,SE,2026-07-14 09:18:00,2026-07-14 09:23:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C019,VEH-C019,Volvo,EX30,SE,2026-07-14 09:19:00,2026-07-14 09:24:00
completeness_missing_100_vins,vehicle_api,batch_comp_veh_001,VIN-C020,VEH-C020,Volvo,EX30,SE,2026-07-14 09:20:00,2026-07-14 09:25:00
